FIPS,STNAME,CTYNAME,POPESTIMATE2018,Poverty Percent
1000,Alabama,Alabama,4887681,16.8
1001,Alabama,Autauga County,55533,13.8
1003,Alabama,Baldwin County,217855,9.8
1005,Alabama,Barbour County,24872,30.9
1007,Alabama,Bibb County,22367,21.8
1009,Alabama,Blount County,57771,13.2
1011,Alabama,Bullock County,10174,42.5
1013,Alabama,Butler County,19631,24.5
1015,Alabama,Calhoun County,114331,19.5
1017,Alabama,Chambers County,33600,18.7
1019,Alabama,Cherokee County,26014,16.3
1021,Alabama,Chilton County,44163,17.3
1023,Alabama,Choctaw County,12833,22.1
1025,Alabama,Clarke County,23918,22.8
1027,Alabama,Clay County,13294,17.6
1029,Alabama,Cleburne County,15010,16
1031,Alabama,Coffee County,51950,13.8
1033,Alabama,Colbert County,55004,13.8
1035,Alabama,Conecuh County,12292,24.4
1037,Alabama,Coosa County,10643,18.9
1039,Alabama,Covington County,36953,19.9
1041,Alabama,Crenshaw County,13825,19.5
1043,Alabama,Cullman County,83418,14.5
1045,Alabama,Dale County,49143,16.2
1047,Alabama,Dallas County,38294,31.4
1049,Alabama,DeKalb County,71407,21.3
1051,Alabama,Elmore County,81011,11.2
1053,Alabama,Escambia County,36524,23.6
1055,Alabama,Etowah County,102611,17.5
1057,Alabama,Fayette County,16445,23.5
1059,Alabama,Franklin County,31298,19.2
1061,Alabama,Geneva County,26306,21.3
1063,Alabama,Greene County,8209,30.1
1065,Alabama,Hale County,14749,25.6
1067,Alabama,Henry County,17173,17.9
1069,Alabama,Houston County,104770,16.5
1071,Alabama,Jackson County,51621,19.7
1073,Alabama,Jefferson County,659429,16.1
1075,Alabama,Lamar County,13882,17.4
1077,Alabama,Lauderdale County,92604,14
1079,Alabama,Lawrence County,32941,19.3
1081,Alabama,Lee County,163656,19
1083,Alabama,Limestone County,96177,11.4
1085,Alabama,Lowndes County,9974,25.1
1087,Alabama,Macon County,18321,30.2
1089,Alabama,Madison County,367004,11.9
1091,Alabama,Marengo County,19056,24
1093,Alabama,Marion County,29750,20.2
1095,Alabama,Marshall County,96170,18.3
1097,Alabama,Mobile County,413908,20.8
1099,Alabama,Monroe County,21062,21.9
1101,Alabama,Montgomery County,226504,20.1
1103,Alabama,Morgan County,119203,13.2
1105,Alabama,Perry County,9070,35.3
1107,Alabama,Pickens County,19980,23.1
1109,Alabama,Pike County,33242,23.6
1111,Alabama,Randolph County,22727,19.7
1113,Alabama,Russell County,57784,21.7
1115,Alabama,St. Clair County,88654,12
1117,Alabama,Shelby County,215583,8
1119,Alabama,Sumter County,12634,34.7
1121,Alabama,Talladega County,80137,19.3
1123,Alabama,Tallapoosa County,40535,19.7
1125,Alabama,Tuscaloosa County,208319,16.8
1127,Alabama,Walker County,63669,17.9
1129,Alabama,Washington County,16402,17.6
1131,Alabama,Wilcox County,10599,33.4
1133,Alabama,Winston County,23693,18.6
2000,Alaska,Alaska,735139,11.1
2013,Alaska,Aleutians East Borough,3395,15.5
2016,Alaska,Aleutians West Census Area,5640,10
2020,Alaska,Anchorage Municipality,290521,9.5
2050,Alaska,Bethel Census Area,18219,32.7
2060,Alaska,Bristol Bay Borough,880,11.2
2068,Alaska,Denali Borough,2032,6.9
2070,Alaska,Dillingham Census Area,4991,22
2090,Alaska,Fairbanks North Star Borough,98565,8.6
2100,Alaska,Haines Borough,2488,10.5
2105,Alaska,Hoonah-Angoon Census Area,2155,17.2
2110,Alaska,Juneau City and Borough,32037,7.3
2122,Alaska,Kenai Peninsula Borough,58561,12.4
2130,Alaska,Ketchikan Gateway Borough,13856,9.1
2150,Alaska,Kodiak Island Borough,13250,8.2
2158,Alaska,Kusilvak Census Area,8323,35.1
2164,Alaska,Lake and Peninsula Borough,1596,18.2
2170,Alaska,Matanuska-Susitna Borough,107115,10.4
2180,Alaska,Nome Census Area,10053,22
2185,Alaska,North Slope Borough,9850,11.1
2188,Alaska,Northwest Arctic Borough,7694,21.1
2195,Alaska,Petersburg Borough,3244,7.2
2198,Alaska,Prince of Wales-Hyder Census Area,6360,16.5
2220,Alaska,Sitka City and Borough,8554,7.7
2230,Alaska,Skagway Municipality,1169,4.3
2240,Alaska,Southeast Fairbanks Census Area,6937,13.4
2261,Alaska,Valdez-Cordova Census Area,9161,9.7
2275,Alaska,Wrangell City and Borough,2538,11.6
2282,Alaska,Yakutat City and Borough,596,13.1
2290,Alaska,Yukon-Koyukuk Census Area,5359,23.7
4000,Arizona,Arizona,7158024,14.1
4001,Arizona,Apache County,71731,37.3
4003,Arizona,Cochise County,126411,15.1
4005,Arizona,Coconino County,142523,15.9
4007,Arizona,Gila County,53801,20.4
4009,Arizona,Graham County,37995,20.2
4011,Arizona,Greenlee County,9448,10.5
4012,Arizona,La Paz County,21039,23.7
4013,Arizona,Maricopa County,4402403,12.3
4015,Arizona,Mohave County,209292,16.8
4017,Arizona,Navajo County,110242,28.5
4019,Arizona,Pima County,1036554,16.2
4021,Arizona,Pinal County,446806,12.9
4023,Arizona,Santa Cruz County,46395,24.4
4025,Arizona,Yavapai County,231772,13.2
4027,Arizona,Yuma County,211612,19.5
5000,Arkansas,Arkansas,3009733,16.8
5001,Arkansas,Arkansas County,17726,17.9
5003,Arkansas,Ashley County,20012,19.6
5005,Arkansas,Baxter County,41624,15.1
5007,Arkansas,Benton County,272266,8.6
5009,Arkansas,Boone County,37385,14.8
5011,Arkansas,Bradley County,10838,21.7
5013,Arkansas,Calhoun County,5227,15.7
5015,Arkansas,Carroll County,28097,16.1
5017,Arkansas,Chicot County,10442,31.4
5019,Arkansas,Clark County,22313,19.9
5021,Arkansas,Clay County,14763,20.7
5023,Arkansas,Cleburne County,24994,14.6
5025,Arkansas,Cleveland County,7995,15.5
5027,Arkansas,Columbia County,23586,22.4
5029,Arkansas,Conway County,20825,17.9
5031,Arkansas,Craighead County,108816,17.9
5033,Arkansas,Crawford County,63379,16
5035,Arkansas,Crittenden County,48363,19.2
5037,Arkansas,Cross County,16630,18
5039,Arkansas,Dallas County,7152,21.3
5041,Arkansas,Desha County,11507,24.3
5043,Arkansas,Drew County,18328,19.5
5045,Arkansas,Faulkner County,125138,15.4
5047,Arkansas,Franklin County,17764,18.3
5049,Arkansas,Fulton County,12308,20.6
5051,Arkansas,Garland County,98966,20.4
5053,Arkansas,Grant County,18180,13.1
5055,Arkansas,Greene County,45339,16.5
5057,Arkansas,Hempstead County,21685,20.6
5059,Arkansas,Hot Spring County,33672,18.7
5061,Arkansas,Howard County,13302,17.3
5063,Arkansas,Independence County,37768,14.5
5065,Arkansas,Izard County,13582,18.7
5067,Arkansas,Jackson County,16753,25.6
5069,Arkansas,Jefferson County,68067,22.2
5071,Arkansas,Johnson County,26659,22.2
5073,Arkansas,Lafayette County,6679,22.8
5075,Arkansas,Lawrence County,16432,17.7
5077,Arkansas,Lee County,8976,43
5079,Arkansas,Lincoln County,13184,27.5
5081,Arkansas,Little River County,12297,16
5083,Arkansas,Logan County,21673,18.6
5085,Arkansas,Lonoke County,73391,11.9
5087,Arkansas,Madison County,16362,18.4
5089,Arkansas,Marion County,16665,18.7
5091,Arkansas,Miller County,43362,21.9
5093,Arkansas,Mississippi County,41236,25.7
5095,Arkansas,Monroe County,6880,26
5097,Arkansas,Montgomery County,8910,18.8
5099,Arkansas,Nevada County,8308,21.3
5101,Arkansas,Newton County,7800,17.4
5103,Arkansas,Ouachita County,23620,23.3
5105,Arkansas,Perry County,10380,14.7
5107,Arkansas,Phillips County,18054,35.4
5109,Arkansas,Pike County,10666,17.8
5111,Arkansas,Poinsett County,23903,23.7
5113,Arkansas,Polk County,20019,20
5115,Arkansas,Pope County,63594,16
5117,Arkansas,Prairie County,8082,15.8
5119,Arkansas,Pulaski County,391918,16.7
5121,Arkansas,Randolph County,17970,17.4
5123,Arkansas,St. Francis County,25509,35.6
5125,Arkansas,Saline County,121074,9.7
5127,Arkansas,Scott County,10339,20.2
5129,Arkansas,Searcy County,7930,24.3
5131,Arkansas,Sebastian County,127570,15.6
5133,Arkansas,Sevier County,17061,20.1
5135,Arkansas,Sharp County,17290,20.7
5137,Arkansas,Stone County,12454,20.3
5139,Arkansas,Union County,39139,18.2
5141,Arkansas,Van Buren County,16635,16.4
5143,Arkansas,Washington County,236611,15.2
5145,Arkansas,White County,78381,16.6
5147,Arkansas,Woodruff County,6466,23.7
5149,Arkansas,Yell County,21462,16.3
6000,California,California,39461588,12.8
6001,California,Alameda County,1666756,9
6003,California,Alpine County,1089,17.3
6005,California,Amador County,39405,11.8
6007,California,Butte County,230339,18.5
6009,California,Calaveras County,45698,12.1
6011,California,Colusa County,21418,11
6013,California,Contra Costa County,1150519,7.8
6015,California,Del Norte County,27740,20.4
6017,California,El Dorado County,190746,8.1
6019,California,Fresno County,991950,21.3
6021,California,Glenn County,27967,15.4
6023,California,Humboldt County,136244,20.3
6025,California,Imperial County,181523,21.4
6027,California,Inyo County,17946,12.3
6029,California,Kern County,893758,20.5
6031,California,Kings County,151382,18.8
6033,California,Lake County,64317,18.4
6035,California,Lassen County,30618,15.8
6037,California,Los Angeles County,10073906,14.2
6039,California,Madera County,156882,20.2
6041,California,Marin County,259662,6.6
6043,California,Mariposa County,17405,14.9
6045,California,Mendocino County,87401,17.5
6047,California,Merced County,274151,21.2
6049,California,Modoc County,8800,19.1
6051,California,Mono County,14403,9.3
6053,California,Monterey County,433950,13.3
6055,California,Napa County,138789,8.8
6057,California,Nevada County,99508,10.3
6059,California,Orange County,3175973,10.5
6061,California,Placer County,392330,7.1
6063,California,Plumas County,18741,12.5
6065,California,Riverside County,2445789,12.7
6067,California,Sacramento County,1538746,14.3
6069,California,San Benito County,61467,8.6
6071,California,San Bernardino County,2166753,14.9
6073,California,San Diego County,3333861,11.5
6075,California,San Francisco County,880696,10.1
6077,California,San Joaquin County,752491,14.3
6079,California,San Luis Obispo County,283354,12.7
6081,California,San Mateo County,768681,6.8
6083,California,Santa Barbara County,445780,12.6
6085,California,Santa Clara County,1932337,7.3
6087,California,Santa Cruz County,273841,12.2
6089,California,Shasta County,179709,15.2
6091,California,Sierra County,2997,13.3
6093,California,Siskiyou County,43550,17.1
6095,California,Solano County,445725,7.9
6097,California,Sonoma County,498643,9.9
6099,California,Stanislaus County,548126,15.6
6101,California,Sutter County,96348,13.5
6103,California,Tehama County,64018,17
6105,California,Trinity County,12567,21.6
6107,California,Tulare County,464589,22.2
6109,California,Tuolumne County,54387,12.5
6111,California,Ventura County,848142,9.1
6113,California,Yolo County,220118,20.1
6115,California,Yuba County,77557,17.2
8000,Colorado,Colorado,5691287,9.7
8001,Colorado,Adams County,511354,9.2
8003,Colorado,Alamosa County,16248,19.1
8005,Colorado,Arapahoe County,651797,8.1
8007,Colorado,Archuleta County,13730,11.2
8009,Colorado,Baca County,3584,19.4
8011,Colorado,Bent County,5808,33.9
8013,Colorado,Boulder County,324636,9.7
8014,Colorado,Broomfield County,69324,4.9
8015,Colorado,Chaffee County,20041,10.9
8017,Colorado,Cheyenne County,1859,12.6
8019,Colorado,Clear Creek County,9604,7.2
8021,Colorado,Conejos County,8181,21.4
8023,Colorado,Costilla County,3812,25.2
8025,Colorado,Crowley County,5957,44.3
8027,Colorado,Custer County,4934,12
8029,Colorado,Delta County,30884,14.6
8031,Colorado,Denver County,716265,11.7
8033,Colorado,Dolores County,2060,12.8
8035,Colorado,Douglas County,342989,2.6
8037,Colorado,Eagle County,54943,6.7
8039,Colorado,Elbert County,26303,5
8041,Colorado,El Paso County,712089,9.9
8043,Colorado,Fremont County,47959,16.5
8045,Colorado,Garfield County,59701,8.4
8047,Colorado,Gilpin County,6112,6.7
8049,Colorado,Grand County,15511,7.9
8051,Colorado,Gunnison County,17167,10.4
8053,Colorado,Hinsdale County,808,8.6
8055,Colorado,Huerfano County,6887,21.7
8057,Colorado,Jackson County,1395,13.4
8059,Colorado,Jefferson County,579392,7
8061,Colorado,Kiowa County,1379,13.8
8063,Colorado,Kit Carson County,7159,12.6
8065,Colorado,Lake County,7846,12.6
8067,Colorado,La Plata County,56299,9.2
8069,Colorado,Larimer County,350660,10.5
8071,Colorado,Las Animas County,14508,19.2
8073,Colorado,Lincoln County,5606,16.2
8075,Colorado,Logan County,22268,14.5
8077,Colorado,Mesa County,152951,14.4
8079,Colorado,Mineral County,772,9.3
8081,Colorado,Moffat County,13183,12.3
8083,Colorado,Montezuma County,26152,16.3
8085,Colorado,Montrose County,42206,11.6
8087,Colorado,Morgan County,28769,12.2
8089,Colorado,Otero County,18338,20.8
8091,Colorado,Ouray County,4822,7.5
8093,Colorado,Park County,18525,8.1
8095,Colorado,Phillips County,4285,10.8
8097,Colorado,Pitkin County,17976,6.8
8099,Colorado,Prowers County,12079,21.6
8101,Colorado,Pueblo County,167422,17.2
8103,Colorado,Rio Blanco County,6330,10.8
8105,Colorado,Rio Grande County,11271,14.5
8107,Colorado,Routt County,25507,7
8109,Colorado,Saguache County,6840,24.6
8111,Colorado,San Juan County,764,14.4
8113,Colorado,San Miguel County,8180,8.6
8115,Colorado,Sedgwick County,2276,14.9
8117,Colorado,Summit County,30817,6.7
8119,Colorado,Teller County,25113,7.4
8121,Colorado,Washington County,4888,13.7
8123,Colorado,Weld County,314815,10.5
8125,Colorado,Yuma County,9947,12.1
9000,Connecticut,Connecticut,3571520,10.3
9001,Connecticut,Fairfield County,943971,10
9003,Connecticut,Hartford County,892580,11.2
9005,Connecticut,Litchfield County,181095,6.9
9007,Connecticut,Middlesex County,162870,6.7
9009,Connecticut,New Haven County,856971,11.6
9011,Connecticut,New London County,266285,9.8
9013,Connecticut,Tolland County,150689,8
9015,Connecticut,Windham County,117059,11.7
10000,Delaware,Delaware,965479,12.2
10001,Delaware,Kent County,178540,13.8
10003,Delaware,New Castle County,557550,11.6
10005,Delaware,Sussex County,229389,12.3
11000,District of Columbia,District of Columbia,701547,16.1
11001,District of Columbia,District of Columbia,701547,16.1
12000,Florida,Florida,21244317,13.7
12001,Florida,Alachua County,268851,19.8
12003,Florida,Baker County,28353,15.4
12005,Florida,Bay County,186240,13.4
12007,Florida,Bradford County,27752,19.5
12009,Florida,Brevard County,595203,11
12011,Florida,Broward County,1946107,12.6
12013,Florida,Calhoun County,14543,21.3
12015,Florida,Charlotte County,184849,11.1
12017,Florida,Citrus County,147682,15.2
12019,Florida,Clay County,215908,8.8
12021,Florida,Collier County,378201,10.6
12023,Florida,Columbia County,70668,17.3
12027,Florida,DeSoto County,37368,26.1
12029,Florida,Dixie County,16685,24.7
12031,Florida,Duval County,948652,14.5
12033,Florida,Escambia County,315104,14.7
12035,Florida,Flagler County,112085,10.3
12037,Florida,Franklin County,11676,22.8
12039,Florida,Gadsden County,45927,23.6
12041,Florida,Gilchrist County,18284,16.8
12043,Florida,Glades County,13686,20.1
12045,Florida,Gulf County,16146,20.3
12047,Florida,Hamilton County,14262,27.6
12049,Florida,Hardee County,27168,27
12051,Florida,Hendry County,41336,24
12053,Florida,Hernando County,190582,14.1
12055,Florida,Highlands County,104933,20.8
12057,Florida,Hillsborough County,1451919,14.7
12059,Florida,Holmes County,19443,23.9
12061,Florida,Indian River County,157187,10.7
12063,Florida,Jackson County,48112,23.5
12065,Florida,Jefferson County,14321,17.9
12067,Florida,Lafayette County,8691,21
12069,Florida,Lake County,356720,11.5
12071,Florida,Lee County,754470,12.1
12073,Florida,Leon County,291657,20.7
12075,Florida,Levy County,40798,16.1
12077,Florida,Liberty County,8427,23.8
12079,Florida,Madison County,18540,22.8
12081,Florida,Manatee County,394387,10.4
12083,Florida,Marion County,359062,15.1
12085,Florida,Martin County,160742,10.7
12086,Florida,Miami-Dade County,2714854,16
12087,Florida,Monroe County,74757,12
12089,Florida,Nassau County,85936,10.4
12091,Florida,Okaloosa County,206934,12.7
12093,Florida,Okeechobee County,41654,21.5
12095,Florida,Orange County,1381540,15.6
12097,Florida,Osceola County,368456,13.4
12099,Florida,Palm Beach County,1482876,12.2
12101,Florida,Pasco County,539090,12.6
12103,Florida,Pinellas County,973058,11.7
12105,Florida,Polk County,706597,15.7
12107,Florida,Putnam County,74043,18.8
12109,Florida,St. Johns County,253814,6.6
12111,Florida,St. Lucie County,320425,12.1
12113,Florida,Santa Rosa County,179295,9.5
12115,Florida,Sarasota County,426329,10.3
12117,Florida,Seminole County,468122,9.9
12119,Florida,Sumter County,128719,9.3
12121,Florida,Suwannee County,44179,19.3
12123,Florida,Taylor County,21545,21.6
12125,Florida,Union County,15328,20.6
